Rental Market Survey zone,ID,Year,Census year,Population,Households,Renter households,Percentage of renter households,Estimated percentage of affordable private market rental units (Composite measure),Estimated affordable private market rental units (1-person households),Estimated percentage of affordable private market rental units (1-person households),Estimated affordable private market rental units (2-person families),Estimated percentage of affordable private market rental units (2-person families),Estimated affordable private market rental units (3-person families),Estimated percentage of affordable private market rental units (3-person families),Estimated affordable private market rental units (4-person families),Estimated percentage of affordable private market rental units (4-person families),Percentage of renter households in core housing need,Renter households in core housing need,Estimated total rental units,Estimated primary market units,Estimated percentage of primary market units,Estimated secondary market condo units,Estimated percentage of secondary market condo units,Primary market vacancy rate,Change in primary market units,Percentage change in primary market units,Share of regional change in primary market units,Building permits issued,Building permits issued per square km,Amenity density (percentage of households)
Remainder of CMA,058010,2015,2011,111580,41360,3390,8.200000000000001,79.9,275,71.39999999999999,975,93.8,1190,80.4,495,64.3,35.3,1195,3420,414,12.1,35,1,2.1,44,10.5,3.4000000000000004,,,
Remainder of CMA,058010,2016,2016,115075,43865,4180,9.5,70.89999999999999,200,59.699999999999996,1000,85.1,1475,67.7,890,66.4,25.5,1065,4305,530,12.3,55,1.3,3,68,14.7,17.8,,,
Remainder of CMA,058010,2017,2016,115075,43865,4180,9.5,70.89999999999999,200,59.699999999999996,1000,85.1,1475,67.7,890,66.4,25.5,1065,4305,530,12.3,55,1.3,3.4000000000000004,555,104.69999999999999,31.7,,,
Remainder of CMA,058010,2018,2016,115075,43865,4180,9.5,70.89999999999999,200,59.699999999999996,1000,85.1,1475,67.7,890,66.4,25.5,1065,4305,530,12.3,55,1.3,2.7,92,8.5,5.2,,,
Remainder of CMA,058010,2019,2016,115075,43865,4180,9.5,70.89999999999999,200,59.699999999999996,1000,85.1,1475,67.7,890,66.4,25.5,1065,4305,530,12.3,55,1.3,0.2,181,15.4,10.2,,,
Remainder of CMA,058010,2020,2016,115075,43865,4180,9.5,70.89999999999999,200,59.699999999999996,1000,85.1,1475,67.7,890,66.4,25.5,1065,4305,530,12.3,55,1.3,0.4,215,15.8,14.099999999999998,,,
Remainder of CMA,058010,2021,2021,127252,49239,6285,12.8,51.6,225,36.6,1270,50.1,1855,51.800000000000004,965,59.4,18.099999999999998,1135,6320,2329,36.9,190,3,0.6,756,48.1,66.3,1401,0.3,0 (High); 0 (Medium); 100 (Low)
Remainder of CMA,058010,2022,2021,127252,49239,6285,12.8,51.6,225,36.6,1270,50.1,1855,51.800000000000004,965,59.4,18.099999999999998,1135,6320,2329,36.9,190,3,0.4,679,29.2,48.6,1431,0.3,
Sackville,058009,2006,2006,27645,10075,1730,17.2,81.69999999999999,95,48.699999999999996,725,94.8,890,96.2,100,30.3,37.9,655,,,,,,,,,,,,
Sackville,058009,2007,2006,27645,10075,1730,17.2,81.69999999999999,95,48.699999999999996,725,94.8,890,96.2,100,30.3,37.9,655,,,,,,,,,,,,
Sackville,058009,2008,2006,27645,10075,1730,17.2,81.69999999999999,95,48.699999999999996,725,94.8,890,96.2,100,30.3,37.9,655,,,,,,,,,,,,
Sackville,058009,2009,2006,27645,10075,1730,17.2,81.69999999999999,95,48.699999999999996,725,94.8,890,96.2,100,30.3,37.9,655,,,,,,,,,,,,
Sackville,058009,2010,2006,27645,10075,1730,17.2,81.69999999999999,95,48.699999999999996,725,94.8,890,96.2,100,30.3,37.9,655,,,,,,2.8000000000000003,,,,,,
Sackville,058009,2011,2011,27840,10645,2190,20.599999999999998,81,75,35.699999999999996,795,100,940,87.9,235,52.2,31.3,685,2245,1037,46.2,60,2.7,2.5,52,5.3,10.100000000000001,,,
Sackville,058009,2012,2011,27840,10645,2190,20.599999999999998,81,75,35.699999999999996,795,100,940,87.9,235,52.2,31.3,685,2245,1037,46.2,60,2.7,3.1,11,1.0999999999999999,1.5,,,
Sackville,058009,2013,2011,27840,10645,2190,20.599999999999998,81,75,35.699999999999996,795,100,940,87.9,235,52.2,31.3,685,2245,1037,46.2,60,2.7,4.6,23,2.1999999999999997,2.1,,,
Sackville,058009,2014,2011,27840,10645,2190,20.599999999999998,81,75,35.699999999999996,795,100,940,87.9,235,52.2,31.3,685,2245,1037,46.2,60,2.7,,-1,-0.1,-0.1,,,
Sackville,058009,2015,2011,27840,10645,2190,20.599999999999998,81,75,35.699999999999996,795,100,940,87.9,235,52.2,31.3,685,2245,1037,46.2,60,2.7,2.9000000000000004,282,26.400000000000002,21.8,,,
Sackville,058009,2016,2016,27940,11150,2615,23.5,77.2,105,35.6,925,95.39999999999999,960,76.8,395,68.7,26.6,695,2675,1375,51.4,65,2.4,2.4,23,1.7000000000000002,6,,,
Sackville,058009,2017,2016,27940,11150,2615,23.5,77.2,105,35.6,925,95.39999999999999,960,76.8,395,68.7,26.6,695,2675,1375,51.4,65,2.4,2.5,-84,-6.1,-4.8,,,
Sackville,058009,2018,2016,27940,11150,2615,23.5,77.2,105,35.6,925,95.39999999999999,960,76.8,395,68.7,26.6,695,2675,1375,51.4,65,2.4,2,198,15.299999999999999,11.200000000000001,,,
Sackville,058009,2019,2016,27940,11150,2615,23.5,77.2,105,35.6,925,95.39999999999999,960,76.8,395,68.7,26.6,695,2675,1375,51.4,65,2.4,0.1,-46,-3.1,-2.6,,,
Sackville,058009,2020,2016,27940,11150,2615,23.5,77.2,105,35.6,925,95.39999999999999,960,76.8,395,68.7,26.6,695,2675,1375,51.4,65,2.4,0.5,31,2.1,2,,,
Sackville,058009,2021,2021,28860,11742,3180,27.1,75.9,105,37.5,990,88.4,1200,77.2,490,68.5,23.400000000000002,745,3205,1469,45.800000000000004,55,1.7000000000000002,0.8,-5,-0.3,-0.4,72,2.7,0 (High); 0.2 (Medium); 99.8 (Low)
Sackville,058009,2022,2021,28860,11742,3180,27.1,75.9,105,37.5,990,88.4,1200,77.2,490,68.5,23.400000000000002,745,3205,1469,45.800000000000004,55,1.7000000000000002,1.2,49,3.3000000000000003,3.5000000000000004,63,2.4,
